Most_revenue
Bridget Jones's Baby
Due Date
District 9
Braveheart
Tomorrowland
Safe House
Traffic
The Fast and the Furious
The Expendables 3
London Has Fallen
Paranormal Activity 3
White House Down
The Ugly Truth
Eat Pray Love
Everest
Battle: Los Angeles
Fun with Dick and Jane
You Don't Mess with the Zohan
Rocky II
Jack the Giant Slayer
The Other Woman
50 First Dates
The Vow
Anger Management
For Your Eyes Only
A Dog's Purpose
The Holiday
Gangs of New York
Paranormal Activity
The Curse of the Were-Rabbit
The Equalizer
The Living Daylights
Superman II
The Longest Yard
Outbreak
Gnomeo & Juliet
Rambo III
22 Jump Street
The Secret Life of Walter Mitty
Mr. Popper's Penguins
The Horse Whisperer
Walk the Line
Atlantis: The Lost Empire
The Spy Who Loved Me
The Birdcage
Aliens
Paul Blart: Mall Cop
Mirror Mirror
Storks
The Haunted Mansion
Scooby-Doo 2: Monsters Unleashed
Kill Bill: Vol. 1
Sweet Home Alabama
The Impossible
The Dictator
Dante's Peak
Patriot Games
Double Jeopardy
The A-Team
In the Line of Fire
Analyze This
The Italian Job
Sleeping with the Enemy
Cowboys & Aliens
Percy Jackson: Sea of Monsters
Identity Thief
Cold Mountain
Evan Almighty
Along Came Polly
John Wick: Chapter 2
Contact
Blood Diamond
Starsky & Hutch
Shall We Dance?
Zookeeper
Fantastic Four
Sleepers
Bridge of Spies
The Princess Diaries
The Scorpion King
Speed 2: Cruise Control
Daddy Day Care
Six Days Seven Nights
Miami Vice
Four Christmases
Up in the Air
Unbroken
The Happening
Talladega Nights: The Ballad of Ricky Bobby
The Magnificent Seven
Memoirs of a Geisha
Eyes Wide Shut
Alien: Resurrection
Scream 3
Payback
The Ring Two
Olympus Has Fallen
Love's Deadly Triangle: The Texas Cadet Murder
A Star Is Born
Legends of the Fall
Into the Storm
Johnny English
Alien³
The Jackal
Demolition Man
Sin City
The Fast and the Furious: Tokyo Drift
Crimson Tide
The Book of Eli
Don't Breathe
This Means War
Ip Man 3
Mystic River
Licence to Kill
The Hateful Eight
Hannah Montana: The Movie
Dreamgirls
Cool Runnings
The Town
Free Willy
Another 48 Hrs.
Gremlins
Tower Heist
Chocolat
A View to a Kill
Backdraft
Phenomenon
Congo
The Bone Collector
Planes: Fire & Rescue
Vantage Point
Midnight in Paris
Step Up 2: The Streets
Monkey King: Hero Is Back
The General's Daughter
Recep İvedik 4
Lone Survivor
Ghost Rider: Spirit of Vengeance
Surf's Up
Lights Out
Seabiscuit
Spy Kids
The Game Plan
The Mexican
No Strings Attached
Source Code
Beethoven
Swordfish
The Last Witch Hunter
Ben-Hur
Mama
Music and Lyrics
The Exorcism of Emily Rose
Charlotte's Web
"Crazy, Stupid, Love."
Paranormal Activity 4
The Legend of Zorro
Power Rangers
Gothika
Bad Boys
Scary Movie 2
Thunderball
Shallow Hal
Evita
Animal House
Trainwreck
Sommersby
Anastasia
Big Momma's House 2
Last Action Hero
The Godfather: Part III
Love Story
Lost in Space
Saw: The Final Chapter
The Bounty Hunter
The Jungle Book 2
A Perfect World
Sense and Sensibility
Wall Street: Money Never Sleeps
Scent of a Woman
Pokémon: The Movie 2000
Point Break
The Artist
The Big Short
Star Trek IV: The Voyage Home
Asterix at the Olympic Games
Zero Dark Thirty
Bringing Down the House
V for Vendetta
The Three Musketeers
Unknown
Cloud Atlas
Jingle All the Way
An Officer and a Gentleman
Julie & Julia
Mean Girls
About a Boy
Blade: Trinity
Out of Africa
Pan
U-571
First Knight
Smokey and the Bandit
Parenthood
Predators
Porky's
I Know What You Did Last Summer
First Blood
"Legally Blonde 2: Red, White & Blonde"
Ride Along 2
The Theory of Everything
Blended
The Queen
The Ten Commandments
MouseHunt
Deepwater Horizon
Superbad
Starship Troopers
Red Cliff Part II
Eight Below
Lethal Weapon
We Bought a Zoo
Star Trek: Generations
Rocky V
Intolerable Cruelty
Parental Guidance
Lost in Translation
Blazing Saddles
Sahara
The Pirates! In an Adventure with Scientists!
The Saint
Pompeii
Disturbia
Final Destination 3
Now You See Me
A Knight's Tale
Dennis the Menace
Rocky
Warm Bodies
The Piano
The Siege
S.W.A.T.
The First Wives Club
Diamonds Are Forever
Pitch Perfect
"The Karate Kid, Part II"
The Iron Lady
Freddy vs. Jason
The Lake House
We Were Soldiers
Step Up
Seventh Son
Judge Dredd
Species
Rambo
Changeling
The Pacifier
The Rocky Horror Picture Show
Tooth Fairy
How to Be Single
You Only Live Twice
The Secret of My Success
Sea of Love
Freaky Friday
Billy Elliot
Free Birds
Return to Never Land
The Prestige
Sideways
The 40 Year Old Virgin
The Purge: Anarchy
Cinderella Man
10 Cloverfield Lane
Hidalgo
The Amityville Horror
Three Kings
The American President
Paul Blart: Mall Cop 2
Ace Ventura: Pet Detective
Shaft
The Whole Nine Yards
Race to Witch Mountain
Mr. Holland's Opus
Kramer vs. Kramer
About Schmidt
Life As We Know It
Gangster Squad
Along Came a Spider
Alien
Chappie
Home on the Range
Saw
Snake Eyes
Working Girl
She's All That
Resident Evil
The Cable Guy
Love & Other Drugs
Zombieland
U.S. Marshals
Butch Cassidy and the Sundance Kid
Mary Poppins
John Q
The Aviator
The Goodbye Girl
The Other Woman
The Stepford Wives
Timecop
Heaven is for Real
Stir Crazy
The Recruit
Joy
Kung Fu Hustle
Fight Club
Tammy
Little Miss Sunshine
The Rugrats Movie
Airport
Any Given Sunday
Where the Wild Things Are
Nim's Island
Don't Say a Word
Conan the Destroyer
Spice World
Hitman
The Visit
Crash
Once Upon a Time in Mexico
Killers
Fred Claus
Phone Booth
Safe Haven
Paul
Evil Dead
The Book of Life
Jarhead
8MM
Kick-Ass
The Manchurian Candidate
The Butterfly Effect
Metropolis
My Sister's Keeper
Norbit
Dolphin Tale
The Flowers of War
Be Cool
The Princess Diaries 2: Royal Engagement
Captain Phillips
Changing Lanes
Green Zone
Ben-Hur
Syriana
Speed Racer
In the Heart of the Sea
The Fighter
Lady and the Tramp
The Lovely Bones
Cats & Dogs
Money Monster
Michael Clayton
When Harry Met Sally...
Four Brothers
Downfall
The Skeleton Key
Behind Enemy Lines
"I Love You, Man"
Fracture
The Haunting
Save the Last Dance
Romeo Must Die
Dhoom 3
King Kong
The Mortal Instruments: City of Bones
Madea Goes to Jail
Final Destination 2
Bedazzled
Identity
Valerian and the City of a Thousand Planets
Apocalypse Now
The Long Kiss Goodnight
Red Riding Hood
My Big Fat Greek Wedding 2
Line Walker
The Cider House Rules
This Is 40
Jaws 3-D
Spawn
State of Play
Gosford Park
The Living Sea
RV
Collateral Beauty
Peter Pan
About Time
Old School
Star Trek III: The Search for Spock
Snowpiercer
The Kingdom
Sky High
Paranormal Activity: The Marked Ones
War Dogs
Pain & Gain
The Possession
Max Payne
Cocoon
Match Point
Stripes
Nerve
Transporter 2
Zodiac
The Animal
Made of Honor
Never Been Kissed
The Santa Clause 3: The Escape Clause
Field of Dreams
Sicario
Marmaduke
The Judge
Snatch
Rings
Stand by Me Doraemon
Fuck You Goethe 2
28 Days Later
The Constant Gardener
Elizabeth
Abduction
Ouija: Origin of Evil
Waiting to Exhale
Act of Valor
Jimmy Neutron: Boy Genius
Vampires Suck
Runaway Jury
Finding Forrester
Wolf Warrior
Exit Wounds
The Wedding Ringer
What to Expect When You're Expecting
Earthquake
If I Stay
48 Hrs.
Collateral Damage
Scary Movie 5
The Terminator
Priest
K-9
Drive
Exorcist: The Beginning
The Sentinel
Out of Sight
Gandhi
Windtalkers
Serendipity
The Back-Up Plan
The Grey
Diary of a Wimpy Kid: Dog Days
Mike and Dave Need Wedding Dates
Shin Godzilla
Stealth
The Muppet Movie
The Book Thief
Father of the Bride Part II
Bend It Like Beckham
The Unborn
United 93
Ghajini
My Old Classmate
The Ides of March
Barbershop
Dreamcatcher
The Last of the Mohicans
The Change-Up
Edge of Darkness
Random Hearts
From Hell
Always
The Hurricane
Death Race
Deep Blue Sea
Beetlejuice
The Kite Runner
To Rome with Love
"Dude, Where’s My Car?"
Righteous Kill
Jackass Number Two
The One
Urban Legend
Diary of a Wimpy Kid: Rodrick Rules
Young Detective Dee: Rise of the Sea Dragon
Vanishing Point
The Cannonball Run
Around the World in 80 Days
My Fair Lady
Ruthless People
Run All Night
What Dreams May Come
The Score
The Counselor
Cleopatra
Groundhog Day
All the President's Men
Star Trek V: The Final Frontier
Ferris Bueller's Day Off
A Cinderella Story
The Lives of Others
Departures
21
13 Hours: The Secret Soldiers of Benghazi
License to Wed
Takers
Anna Karenina
Guess Who
The Men Who Stare at Goats
Witness
The Sweetest Thing
The Call
Looney Tunes: Back in Action
Pokémon: Spell of the Unknown
The X Files: I Want to Believe
Ghost Ship
Frequency
Tales from Earthsea
Legion
All About My Mother
Sudden Impact
Bandits
Jersey Boys
Boogeyman
The Dilemma
The Girl Who Played with Fire
The Messenger: The Story of Joan of Arc
Skyline
The Cabin in the Woods
Not Another Teen Movie
Smokey and the Bandit II
Herbie Fully Loaded
Mighty Morphin Power Rangers: The Movie
Scarface
Sweet November
The Age of Adaline
The Hard Way
Taxi 3
Batteries not Included
Moonlight
Kiss of the Dragon
Sudden Death
Wag the Dog
The Lazarus Effect
The Grandmaster
Baby Mama
High Crimes
The Host
Lions for Lambs
Unfriended
The Nice Guys
The Reaping
The Crying Game
Two Brothers
Snakes on a Plane
Chennai Express
Enthiran
The Electric Horseman
Rurouni Kenshin
Krampus
Flatliners
Crossroads
Colombiana
Snatched
A History of Violence
Taxi 2
(500) Days of Summer
Kick-Ass 2
Fargo
Kiss the Girls
21 Grams
Scrooged
The Insider
The Perfect Guy
Chain Reaction
Duplicity
Spartacus
The Good Shepherd
Friday the 13th
Shaun the Sheep Movie
Fletch
The Flintstones in Viva Rock Vegas
One Day
Jeepers Creepers
The Gift
The Blue Lagoon
Agent Cody Banks
Honey I Blew Up the Kid
Jack
Must Love Dogs
Throw Momma from the Train
Red Eye
Aliens in the Attic
Drumline
Pet Sematary
The Shack
The Physician
Predator 2
The Mist
Annie
Beaches
Murder by Numbers
A Civil Action
Elektra
Guess Who's Coming to Dinner
Tombstone
Cradle 2 the Grave
Cellular
15 Minutes
Lucky Number Slevin
Frida
Into the Wild
Kicking & Screaming
Bajirao Mastani
Doom
Pay It Forward
The Irony of Fate. The Sequel
Police Academy 2: Their First Assignment
Cop Out
Out of Time
"Definitely, Maybe"
St. Vincent
The Three Stooges
Driven
The Tree of Life
"Good Night, and Good Luck."
Milk
Domestic Disturbance
La Bamba
The Three Musketeers
10 Things I Hate About You
Papillon
Arachnophobia
Welcome to the Sticks
Big Fat Liar
Sinister 2
The Boy Next Door
Dragonfly
The Color of Money
Stand by Me
The Finest Hours
Elizabethtown
Amadeus
Jaws: The Revenge
The Odd Life of Timothy Green
Detective Dee and the Mystery of the Phantom Flame
Biloxi Blues
Hot Pursuit
Daybreakers
The Next Three Days
Silver Streak
The Mechanic
Magic in the Moonlight
Vishwaroopam
Team America: World Police
Something to Talk About
Bull Durham
A Bridge Too Far
Pokémon: Arceus and the Jewel of Life
Bride of Chucky
Jack Ryan: Shadow Recruit
Patriots Day
Eddie Murphy Raw
Fever Pitch
Escape from New York
Breakdown
The Longest Day
Absolute Power
When a Man Loves a Woman
The Women
The Deer Hunter
Harry and the Hendersons
Major League
The Island of Dr. Moreau
Revenge of the Pink Panther
Australia
National Lampoon’s European Vacation
The Black Dahlia
Beauty and the Beast
Capote
Cobra
About Last Night
War of the Arrows
Florence Foster Jenkins
Darkman
Men of Honor
Rabbit Without Ears 2
How Do You Know
Tremors
9
Mother's Day
Charlie St. Cloud
End of Watch
The Preacher's Wife
21 & Over
The Last King of Scotland
Hard to Kill
CJ7
Last Man Standing
The Wedding Date
Looper
Airport 1975
Grand Masti
Colors
Fantastic Mr. Fox
The Distinguished Gentleman
Malice
Miracle on 34th Street
Man on a Ledge
Parker
The Fog
Eddie the Eagle
The World's End
Risen
Marked for Death
Broken Flowers
Red Dawn
The Wrestler
The Odd Couple
The Sisterhood of the Traveling Pants 2
A Man Apart
Boyhood
Picture Perfect
Child's Play
Passenger 57
Pokémon the Movie: Kyurem vs. the Sword of Justice
Sky Of Love
Oculus
The Internship
The Last Emperor
The Transporter
Love at First Bite
Wall Street
Welcome Home Roscoe Jenkins
Police Academy 3: Back in Training
The DUFF
Harold & Kumar Escape from Guantanamo Bay
The Great Outdoors
Snitch
A Lot Like Love
Basic
Shaolin Soccer
Heartbreak Ridge
Would I Lie to You? 2
Glory Road
Time Bandits
The Fourth Kind
Escape from L.A.
White Nights
The Salvation
Doctor Who
Donnie Brasco
The Fisher King
The Return of the Pink Panther
The Love Guru
Casino Royale
Mr. Brooks
Never Back Down
Undercover Brother
The Hours
Gremlins 2: The New Batch
Gridiron Gang
Pale Rider
Peggy Sue Got Married
This Is Where I Leave You
Happy Gilmore
Evangelion: 2.0 You Can (Not) Advance
The French Connection
Balls of Fury
Gabbar Is Back
Poltergeist II: The Other Side
Pee-wee's Big Adventure
Falling Down
Quarantine
House on Haunted Hill
Three Fugitives
Bill & Ted's Excellent Adventure
2010
Safe
Carol
Bad Education
Blast from the Past
Diary of a Wimpy Kid: The Long Haul
All About Steve
Hannah and Her Sisters
I Still Know What You Did Last Summer
Manhattan
Caddyshack
Magnum Force
Jackie Brown
Out for Justice
"Cry, Onion!"
The Legend of Bagger Vance
Furry Vengeance
Alpha and Omega
The Life of David Gale
Romeo and Juliet
Day Watch
Clockstoppers
Little Shop of Horrors
The Grudge 3
Urban Legends: Final Cut
Accepted
Dream House
Red Dawn
Million Dollar Arm
Higher Learning
Quest for Camelot
Just My Luck
Admiral
The Producers
Howard the Duck
Killing Them Softly
Absolutely Fabulous: The Movie
St. Elmo's Fire
The Black Stallion
Halloween: Resurrection
Tom Jones
Snowden
Raising Cain
Junior
The Family
One for the Money
Ex Machina
Highlander: The Final Dimension
Bounce
Rear Window
Titan A.E.
Friday the 13th Part III
Joy Ride
Gung Ho
Burnt
"Tarzan, the Ape Man"
Soapdish
Son in Law
Vegas Vacation
Larry Crowne
Last Tango in Paris
Caché
The Born Losers
The Robe
Taps
Child's Play 2
Riding in Cars with Boys
Robin Hood: Men in Tights
Sharky's Machine
The Place Beyond the Pines
Money Train
The Informant!
A Goofy Movie
Assault on Precinct 13
Frankenweenie
Fletch Lives
Summer School
Miss Potter
My Week with Marilyn
Excalibur
The Life Aquatic with Steve Zissou
Assembly
Take the Lead
Psycho II
Jane Eyre
The Kids Are All Right
That Thing You Do!
Hawaii
Crank: High Voltage
In Bruges
Courageous
Muppet Treasure Island
Cirque du Soleil: Worlds Away
The Extraordinary Adventures of Adèle Blanc-Sec
She's the Man
The Outsiders
Welcome to Dongmakgol
Red Planet
Air America
Fireproof
Rosemary's Baby
"Hello, Dolly!"
The Crocodile Hunter: Collision Course
Always - Sunset on Third Street
Confessions of a Dangerous Mind
Dracula 2000
"Run, Fatboy, Run"
Tron
Katy Perry: Part of Me
The Last House on the Left
FernGully: The Last Rainforest
Homeward Bound II: Lost in San Francisco
Tommy Boy
The November Man
Untraceable
Rumble in the Bronx
Hart's War
Project Almanac
Kevin Hart: Let Me Explain
The Lost Boys
Lockout
Alien Nation
Robin Hood
Night Watch
Get on Up
Dressed to Kill
The Soloist
Rent
Daddy's Little Girls
Scoop
Girl with a Pearl Earring
Machete
Johnson Family Vacation
Pride and Glory
High Anxiety
Rowdy Rathore
The Princess Bride
When the Bough Breaks
Cabin Fever
I Don't Know How She Does It
The New World
Sleepwalkers
The Lord of the Rings
[REC]
The Girl Next Door
Once Upon a Time in China II
Alex Cross
L: Change the World
Far from the Madding Crowd
The Great Debaters
The Art of War
When the Game Stands Tall
Double Impact
Solaris
Quo Vadis
Keeping Up with the Joneses
Pulse
Mystery Men
Angel Eyes
The Raven
In the Valley of Elah
Brooklyn's Finest
La vérité si je mens !
The Evil Dead
The Frighteners
Mr. Holmes
The Valet
Nocturnal Animals
Fan
Romy and Michele's High School Reunion
The Rose
New in Town
A Few Best Men
Case 39
Drive Angry
James and the Giant Peach
The Guns of Navarone
Big Eyes
Starman
The Last Starfighter
Love & Mercy
Hoosiers
House Calls
Go
High Road to China
A Man for All Seasons
The Shawshank Redemption
The Master
Friday
Cirque du Freak: The Vampire's Assistant
The Thing
Police Academy 4: Citizens on Patrol
Pokémon 4Ever: Celebi - Voice of the Forest
Tristan & Isolde
Uncommon Valor
Death Note
Internal Affairs
The Last Castle
The Road
Murder on the Orient Express
Goal!: The Dream Begins
Dick
The Young Victoria
Desperately Seeking Susan
The Last Mimzy
Dark City
The Bridge on the River Kwai
A Passage to India
Khumba
The Eagle
Fast Times at Ridgemont High
The Musketeer
Clerks II
Glory
A Clockwork Orange
An American Werewolf in Paris
Billy Madison
The Gauntlet
Saving Grace
Private Lessons
Aloha
Blood Work
The Whole Ten Yards
An Education
North Dallas Forty
The Elephant Man
Howards End
The Cotton Club
Innerspace
From Dusk Till Dawn
Rust and Bone
The Last Dragon
RockNRolla
Can't Hardly Wait
Look Who's Back
All About the Benjamins
Mimic
The Beguiled
Top Five
Desperado
A Lonely Place to Die
The Great Race
And So It Goes
The Last Legion
Fallen
Don't Tell Mom the Babysitter's Dead
Grimsby
Biutiful
The Morning After
Free State of Jones
Singham
Before the Devil Knows You're Dead
Bhaag Milkha Bhaag
Logan's Run
Some Like It Hot
The Hills Have Eyes
Fright Night
The 33
Thank You for Smoking
The Craft
The Man without a Face
Big Miracle
Summer Rental
Mad Max 2: The Road Warrior
The Darjeeling Limited
The Next Best Thing
Renaissance Man
Fair Game
The Tale of the Princess Kaguya
Let Me In
Lionheart
Virtuosity
Corky Romano
Stormbreaker
American History X
Sympathy for Lady Vengeance
House of Wax
Russian Dolls
The Glass House
Hitchcock
Paris
Biker Boyz
God's Not Dead 2
Boys on the Side
Antwone Fisher
Benny & Joon
Whiskey Tango Foxtrot
Warrior
The Program
Raging Bull
"Tad, the Lost Explorer"
Rounders
Kung Fu Dunk
Guilty as Sin
Missing in Action
Rudy
U2 3D
The Accidental Husband
Prelude to a Kiss
Live by Night
Revenge of the Nerds II: Nerds in Paradise
The Chamber
The Warriors
Xanadu
Baggage Claim
License to Drive
The First Power
Don Juan DeMarco
Waitress
Fanaa
The Marine
Piku
A Thousand Words
Little Black Book
The Legend of Boggy Creek
Friday the 13th: A New Beginning
First Strike
Ip Man
Only the Lonely
Mr. 3000
My Blueberry Nights
The Caine Mutiny
Friday the 13th Part 2
The Player
Thunderbolt and Lightfoot
Like Water for Chocolate
Shining Through
He Got Game
Just Wright
Married to the Mob
Our Family Wedding
The Bells of St. Mary's
To Die For
ATL
Things Are Tough All Over
Stir of Echoes
The Jacket
Beasts of the Southern Wild
The Wiz
Punchline
Creepshow
Yves Saint Laurent
Arrambam
Flicka
The Magdalene Sisters
Super Mario Bros.
Amores perros
Mao's Last Dancer
Hamlet
The Great Waldo Pepper
Keanu
Child's Play 3
Country Strong
The Circle
Omen III: The Final Conflict
My Life in Ruins
The Clan
Polisse
Reno 911!: Miami
Tinker Bell and the Pirate Fairy
Labor Day
Action Jackson
Stella
Appaloosa
The NeverEnding Story
Mulholland Drive
Flipper
Reality Bites
Life of Brian
Breaking Away
Mr. Baseball
Sweet Charity
The End of Evangelion
The Sand Pebbles
Middle School: The Worst Years of My Life
"Like Father, Like Son"
Breathless
Nighthawks
My Soul to Take
Vampire in Brooklyn
The Diving Bell and the Butterfly
2 Days in Paris
Dad
Broken City
The Serpent and the Rainbow
La Dolce Vita
Police Academy 5: Assignment Miami Beach
Valiant
Friday the 13th Part VI: Jason Lives
Get Carter
Cell 211
Best Defense
The Best Offer
In This Corner of the World
Martin Lawrence Live: Runteldat
Beerfest
Species II
Tuck Everlasting
Blaze
The Way of the Gun
The Drop
Tri bogatyrya i Shamakhanskaya tsaritsa
Sivaji: The Boss
Beneath the Planet of the Apes
Akeelah and the Bee
A Mighty Heart
Mr. Nice Guy
The Edge of Seventeen
Cocktail
Suspect
Sex Drive
A Mighty Wind
Eye in the Sky
Glee: The Concert Movie
Legends of Oz: Dorothy's Return
The Fan
Fired Up!
Empire
Flight of the Navigator
The Thirteenth Floor
The Quick and the Dead
An Ideal Husband
Super Troopers
[REC]²
Ladyhawke
The Dressmaker
Walk Hard: The Dewey Cox Story
Ivan Tsarevich & the Grey Wolf 2
Simon Birch
Daddy Day Camp
Antitrust
Kaminey
Another Year
Chernobyl Diaries
Admission
Ayan
Raanjhanaa
Dope
CB4
The Edge of Heaven
Flyboys
Halloween 4: The Return of Michael Myers
Unforgettable
Regression
Nebraska
Norwegian Wood
13 Assassins
The Babe
Home for the Holidays
For Keeps
Sabotage
White Palace
A Guy Thing
Monte Carlo
Murder in the First
Extreme Measures
Outland
Masters of the Universe
The Phantom
The Matador
Max Keeble's Big Move
12 Rounds
Hudson Hawk
Angel Heart
Space Pirate Captain Harlock
Rushmore
Pet Sematary II
The Guardian
Bairavaa
Kabhi Alvida Naa Kehna
Kingdom of the Spiders
Punch-Drunk Love
Rock Star
Win a Date with Tad Hamilton!
Death Sentence
Crazy/Beautiful
The One and Only
The Cold Light of Day
House of 1000 Corpses
Hipsters
Hollywoodland
54
The Motorcycle Diaries
The Last Godfather
Hellraiser: Bloodline
Baby's Day Out
Rough Cut
Whip It
Everyone's Hero
Paparazzi
Heart and Souls
Shocker
Krull
Belle
Trainspotting
Pride and Prejudice and Zombies
The Single Moms Club
Tales from the Darkside: The Movie
Going My Way
Cool Hand Luke
Raw Deal
No Holds Barred
O
Suffragette
Breakout
Kahaani
Before Sunset
Leviathan
The Bonfire of the Vanities
The Lobster
Highlander II: The Quickening
Facing Windows
The Water Diviner
Legend
Corvette Summer
The Conspirator
A Kiss Before Dying
Drowning Mona
Out of the Furnace
Anonymous
Mr. Destiny
Spaced Invaders
Alpha Dog
Ida
African Cats
The Last Exorcism Part II
Extraordinary Measures
Muriel's Wedding
The Invasion
More American Graffiti
Josh
The Horseman on the Roof
Oldboy
Going by the Book
Away We Go
Music of the Heart
Supernova
Out Cold
My Left Foot: The Story of Christy Brown
Katyn
Orca: The Killer Whale
School Ties
Kickboxer
City of Joy
Arthur 2: On the Rocks
Freedomland
Desert Flower
Pina
Soldier
Death on the Nile
Psycho III
Night of the Comet
Trapeze
Remo Williams: The Adventure Begins...
The Buddy Holly Story
You're Next
A Chorus Line
The Eiger Sanction
Judy Moody and the Not Bummer Summer
Tank
Cool World
The Beastmaster
RRRrrrr!!!
Blues Brothers 2000
The Arrival
Love & Friendship
Ghosts of Mars
Virus
Arundhati
Children of the Corn
Friday the 13th Part VIII: Jason Takes Manhattan
Papanasam
Star!
Touching the Void
Drop Dead Fred
The Pyramid
The Spanish Prisoner
House of the Dead
The Pagemaster
Sydney White
The Little Vampire
Red Lights
Extremities
Alfie
Mulan: Rise of a Warrior
Sugar & Spice
North by Northwest
Body of Evidence
Lone Star
Brideshead Revisited
Kal Ho Naa Ho
Revenge of the Ninja
The Zookeeper's Wife
Rosewood
To Kill a Mockingbird
Long Time Dead
Silent House
Whiplash
Clockers
25th Hour
How to Eat Fried Worms
Brokedown Palace
Dil Se..
Hillary's America: The Secret History of the Democratic Party
Jodhaa Akbar
Real Genius
La peggior settimana della mia vita
Gods and Generals
Living Out Loud
Marvin's Room
D.O.A.
Hellraiser III: Hell on Earth
The Clearing
People Like Us
Undercover Blues
Why Do Fools Fall In Love
The Man
Ready to Rumble
A Shot in the Dark
Seeking Justice
The Interview
